Type,Time,Data
PPG_GRN,513607.7544257,8150.0
PPG_RED,513607.7541642,121319.0
4668
EDA,513607.7546942,0.39806801080703735
TEMP1,513607.758521,36.459999084472656
PPG_GRN,513607.7545005,8142.0
PPG_GRN,513607.7545678,8126.0
EDA,513607.7547768,0.398250013589859
EDA,513607.7584156,0.39838600158691406
PPG_GRN,513607.7583159,8155.0
PPG_IR,513607.7579923,196224.0
PPG_RED,513607.7542606,121319.0
PPG_GRN,513607.7583667,8135.0
PPG_IR,513607.7580562,196247.0
PPG_RED,513607.7543479,121338.0
PPG_RED,513607.7581469,121324.0
PPG_RED,513607.7582159,121334.0
EDA,513607.8205882,0.3984319865703583
PPG_IR,513607.8203376,196293.0
PPG_RED,513607.8204224,121336.0
PPG_RED,513607.8204623,121357.0
EDA,513607.8207469,0.39863699674606323
PPG_GRN,513607.8205019,8150.0
PPG_IR,513607.8203817,196322.0
PPG_GRN,513607.820544,8150.0
PPG_RED,513607.920873,121353.0
PPG_RED,513607.9209378,121374.0
TEMP1,513607.9216055,36.375999450683594
PPG_GRN,513607.9210589,8152.0
PPG_RED,513607.9209929,121358.0
PPG_GRN,513607.92121,8157.0
EDA,513607.9214996,0.39875099062919617
PPG_IR,513607.9206535,196320.0
PPG_GRN,513607.9213831,8162.0
PPG_IR,513607.9207324,196352.0
PPG_IR,513607.9208057,196370.0
PPG_IR,513608.0533906,196366.0
PPG_GRN,513608.0535529,8155.0
PPG_GRN,513608.0535946,8157.0
EDA,513608.0536377,0.3988650143146515
TEMP1,513608.0537806,36.4109992980957
PPG_IR,513608.0534343,196394.0
PPG_RED,513608.0534742,121357.0
EDA,513608.053681,0.39906999468803406
PPG_RED,513608.053513,121369.0
PPG_RED,513608.2540429,121363.0
PPG_GRN,513608.2541851,8150.0
PPG_GRN,513608.2542545,8151.0
PPG_IR,513608.2539098,196413.0
PPG_RED,513608.2540931,121357.0
PPG_GRN,513608.2543118,8149.0
PPG_GRN,513608.2566149,8129.0
EDA,513608.2543987,0.3991850018501282
PPG_IR,513608.2539589,196322.0
PPG_RED,513608.2541304,121320.0
PPG_GRN,513608.256657,8151.0
EDA,513608.254473,0.3993909955024719
PPG_IR,513608.2539977,196211.0
PPG_IR,513608.2564542,196124.0
PPG_RED,513608.2565344,121328.0
PPG_RED,513608.2565736,121308.0
TEMP1,513608.2545676,36.46200180053711
EDA,513608.2567014,0.39948201179504395
PPG_IR,513608.2564945,196115.0
PPG_RED,513608.35423,121317.0
