situationoeil,timestamp,emotionsResentis,commentaires
"false",34639,"Colère",""
"false",50765,"Peur",""
"false",63413,"Peur",""
"false",75652,"Tristesse",""
"false",89998,"Surprise",""
"undefined",103618,"Tristesse",""
"undefined",115088,"Dégout",""
"undefined",125457,"Dégout",""
"undefined",136891,"Surprise",""
"undefined",150047,"Tristesse",""
"undefined",161870,"Peur",""
"undefined",172438,"Joie",""
"undefined",183199,"Joie",""
"undefined",193677,"Joie",""
"undefined",203355,"Joie",""
"undefined",212937,"Joie",""
"undefined",224755,"Surprise",""
"undefined",236469,"Surprise",""
"undefined",244749,"Dégout",""
"undefined",255679,"Surprise",""
