situationoeil,timestamp,emotionsResentis,commentaires
"false",40278,"Dégout",""
"false",62423,"Tristesse",""
"false",78259,"Tristesse",""
"false",92989,"Tristesse",""
"false",105229,"Dégout",""
"undefined",117437,"Tristesse",""
"undefined",133739,"Peur",""
"undefined",144462,"Joie",""
"undefined",159721,"Colère",""
"undefined",173245,"Peur",""
"undefined",187189,"Surprise",""
"undefined",200655,"Dégout",""
"undefined",213339,"Joie",""
"undefined",224990,"Joie",""
"undefined",237255,"Joie",""
"undefined",247724,"Joie",""
"undefined",258372,"Surprise",""
"undefined",268937,"Surprise",""
"undefined",277908,"Joie",""
"undefined",288958,"Joie",""
