Type,Time,Data
EDA,531891.312157,1.818207025527954
TEMP1,531891.3123555,36.20600128173828
PPG_GRN,531891.3119491,9779.0
EDA,531891.3122532,1.8186839818954468
PPG_GRN,531891.3120418,9799.0
PPG_RED,531891.4112038,135505.0
TEMP1,531891.411501,36.23099899291992
EDA,531891.4114254,1.819633960723877
PPG_GRN,531891.4113163,9818.0
PPG_GRN,531891.4113688,9835.0
PPG_IR,531891.4109128,185020.0
PPG_IR,531891.4110757,185074.0
PPG_RED,531891.4112601,135510.0
PPG_IR,531891.5113915,185140.0

3843
PPG_RED,531891.5117924,135579.0
EDA,531891.5122283,1.8186839818954468
PPG_IR,531891.5115,185250.0
PPG_GRN,531891.512033,9890.0
EDA,531891.7121563,1.8201069831848145
PPG_GRN,531891.7117747,9902.0

PPG_IR,531891.7113262,185410.0
PPG_GRN,531891.7119173,9919.0
PPG_IR,531891.7114045,185439.0
PPG_GRN,531891.7120472,9948.0
PPG_IR,531891.715607,185482.0
PPG_IR,531891.7157247,185511.0
PPG_IR,531891.7158005,185373.0
PPG_RED,531891.7114902,135598.0
PPG_RED,531891.7116375,135622.0
PPG_RED,531891.7116993,135660.0
PPG_RED,531891.7158829,135660.0
PPG_RED,531891.7160377,135674.0
PPG_GRN,531891.7162355,9965.0
EDA,531891.7165129,1.8201069831848145
TEMP1,531891.7167229,36.17100143432617
EDA,531891.7166093,1.8201069831848145
PPG_GRN,531891.7163381,9965.0
PPG_GRN,531891.7164176,9966.0
PPG_RED,531891.7161207,135645.0
PPG_GRN,531891.8124381,9908.0
PPG_IR,531891.8116525,185050.0
0683594
PPG_RED,531891.8121253,135553.0
PPG_IR,531891.8119039,184810.0
PPG_GRN,531891.8126171,9828.0
EDA,531891.8127662,1.821532964706421
PPG_RED,531891.8123474,135493.0
PPG_IR,531891.9114604,184704.0
TEMP1,531891.9127041,36.32099914550781
PPPG_IR,531891.9115531,184634.0
5557
PPG_RED,531891.911903,135414.0
PPG_RED,531891.9119691,135374.0
PPG_IR,531891.9116318,184572.0
PPG_GRN,531891.9122006,9719.0
PPG_GRN,531891.9123118,9675.0
EDA,531892.0123484,1.823917031288147
PPG_GRN,531892.0120931,9661.0
PPG_IR,531892.0114924,184597.0
PPG_RED,531892.0117512,135376.0
PPG_GRN,531892.0122259,9668.0
PPG_IR,531892.0116104,184644.0
PPG_RED,531892.0119111,135394.0
PPG_GRN,531892.2454079,9669.0
EDA,531892.2456271,1.8248720169067383
PPG_RED,531892.245265,135365.0
PPG_IR,531892.2449302,184636.0
EDA,531892.2456861,1.825348973274231
PPG_IR,531892.245095,184617.0
TEMP1,531892.2457564,36.209999084472656
PPG_IR,531892.2452008,184661.0
PPG_RED,531892.2453147,135358.0
PPG_RED,531892.2453588,135368.0
PPG_GRN,531892.2454998,9653.0
PPG_GRN,531892.245563,9673.0
PPG_GRN,531892.278222,9705.0
PPG_RED,531892.2780234,135389.0
PPG_GRN,531892.2782869,9714.0
PPG_RED,531892.278141,135403.0
PPG_IR,531892.2776486,184757.0
TEMP1,531892.2784459,36.196998596191406
PPG_IR,531892.2778539,184813.0
EDA,531892.2783574,1.8272650241851807
EDA,531892.3452054,1.8272650241851807
PPG_RED,531892.3447047,135404.0
PPG_IR,531892.3445887,184977.0
PPG_GRN,531892.3448848,9746.0
PPG_IR,531892.3446418,185041.0
PPG_GRN,531892.3449964,9786.0
PPG_GRN,531892.3450921,9799.0
EDA,531892.3453217,1.8277419805526733
TEMP1,531892.3454723,36.29800033569336
PPG_RED,531892.3447569,135458.0
PPG_RED,531892.3448024,135465.0
PPG_GRN,531892.411348,9816.0
PPG_RED,531892.4110994,135469.0
PPG_IR,531892.4109249,185072.0
EDA,531892.4114975,1.8287019729614258
PPG_IR,531892.4110087,185159.0
PPG_RED,531892.4112611,135514.0
PPG_IR,531892.4447784,185072.0
PPG_RED,531892.4450263,135469.0
PPG_IR,531892.4449337,185159.0
PPG_RED,531892.4451276,135514.0
EDA,531892.4454134,1.8287019729614258
PPG_GRN,531892.4114203,9838.0
PPG_GRN,531892.4452143,9816.0
PPG_GRN,531892.4453174,9838.0
PPG_RED,531892.578242,135535.0
EDA,531892.5791023,1.8301409482955933
PPG_GRN,531892.5786537,9874.0
PPG_RED,531892.5783864,135509.0
EDA,531892.5794314,1.830625057220459
