Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
-1.0,,,191412.33333333334,134230.66666666666,,,,,,,,134230.66666666666,,191412.33333333334,,,,,,,,
0.0,5.696249008178711,,191413.33870967745,134230.64516129033,38.16899871826172,,,,,,,134230.3333333333,,191427.9166666667,5.696249008178711,38.16899871826172,,,,,,
82.0,5.698591470718384,,191415.28459937568,134230.60353798128,38.16899871826172,,,,,,,134230.0,,191443.5,,,,,,,,
83.0,5.700933933258057,9701.5,191419.44365748047,134231.79040649862,38.16968546515683,,,,,,,134249.0,9701.5,191479.75,5.700933933258057,38.17900085449219,,,,,,
115.0,5.702488819758098,9703.172043010754,191425.67309893336,134233.5781222084,38.16968546515683,,,,,,,134259.5,9727.416666666668,191516.0,,,,,,,,
116.0,5.704043706258138,9706.408255289633,191437.17806029253,134235.9279207756,38.16968546515683,,,,,,,134270.0,9753.333333333334,191604.0,,,,,,,,
117.0,5.705598592758179,9710.665070360552,191450.55366930593,134238.53472158578,38.16810127027377,,,,,,,134276.33333333334,9772.388888888889,191644.5,5.705598592758179,38.14799880981445,,,,,,
215.0,5.7026819586753845,9715.876642882095,191465.67923902813,134241.38194384906,38.16810127027377,,,,,,,134282.66666666666,9791.444444444445,191685.0,,,,,,,,
216.0,5.69976532459259,9721.98137559938,191484.3450945747,134244.45407650396,38.16810127027377,,,,,,,134289.0,9810.5,191755.0,,,,,,,,
315.0,5.696848690509796,9728.751394377914,191506.408851914,134250.5538135037,38.16810127027377,,,,,,,134339.0,9826.916666666668,191826.33333333334,,,,,,,,
316.0,5.693932056427002,9736.14377753633,191529.87709802706,134256.1955029551,38.16552931166857,,,,,,,134338.0,9843.333333333334,191870.1666666667,5.693932056427002,38.1349983215332,,,,,,
