situationoeil,timestamp,emotionsResentis,commentaires
"false",38387,"Surprise",""
"false",70115,"Dégout",""
"false",82865,"Colère",""
"false",104857,"Tristesse",""
"true",114021,"Tristesse",""
"undefined",124459,"Tristesse",""
"undefined",134460,"Dégout",""
"undefined",146876,"Dégout",""
"undefined",157789,"Surprise",""
"undefined",171569,"Peur",""
"undefined",180562,"Peur",""
"undefined",192532,"Joie",""
"undefined",203006,"Joie",""
"undefined",212943,"Joie",""
"undefined",221577,"Joie",""
"undefined",230807,"Joie",""
"undefined",239124,"Surprise",""
"undefined",247793,"Surprise",""
"undefined",257510,"Surprise",""
"undefined",266628,"Joie",""
