Type,Time,Data
TEMP1,529365.1266555,38.16899871826172
EDA,529365.1264232,5.696249008178711
PPG_IR,529365.1254576,191387.0
EDA,529365.1265474,5.696249008178711
PPG_RED,529365.1259239,134232.0
PPG_IR,529365.1256213,191417.0
PPG_RED,529365.1260044,134231.0
PPG_RED,529365.1260752,134229.0
PPG_IR,529365.1257635,191433.0
PPG_GRN,529365.2092984,9702.0
PPG_GRN,529365.2093836,9701.0
EDA,529365.2094617,5.700933933258057
PPG_RED,529365.2090155,134230.0
PPG_IR,529365.208834,191438.0
PPG_RED,529365.2091845,134249.0
TEMP1,529365.2095992,38.17900085449219
PPG_IR,529365.2089265,191449.0
PPG_RED,529365.2424515,134263.0
EDA,529365.2432124,5.696249008178711
PPG_IR,529365.2420999,191516.0
TEMP1,529365.2435331,38.14799880981445
PPG_IR,529365.2422408,191569.0
PPG_GRN,529365.2427867,9740.0
EDA,529365.2433589,5.7149481773376465
PPG_GRN,529365.2429305,9754.0
PPG_RED,529365.2425516,134266.0
PPG_RED,529365.2426884,134281.0
PPG_GRN,529365.2430532,9766.0
PPG_IR,529365.2423392,191639.0
PPG_GRN,529365.3424194,9791.0
PPG_RED,529365.3423088,134289.0
57
PPG_IR,529365.3420195,191685.0
PPG_GRN,529365.3424714,9830.0
PPG_IR,529365.3422023,191755.0

PPG_GRN,529365.442347,9834.0
TEMP1,529365.4427424,38.1349983215332
PPG_IR,529365.4418707,191787.0
PPG_RED,529365.4420925,134339.0
PPG_IR,529365.4419232,191844.0
PPG_RED,529365.442212,134352.0
PPG_IR,529365.4419735,191848.0
PPG_RED,529365.442283,134324.0
EDA,529365.4425299,5.696249008178711
PPG_GRN,529365.4424218,9845.0
EDA,529365.4426212,5.691615104675293
PPG_GRN,529365.4424697,9851.0
EDA,529365.5428414,5.691615104675293
PPG_GRN,529365.5426878,9858.0
PPG_RED,529365.5425429,134376.0
PPG_GRN,529365.5427572,9865.0
PPG_IR,529365.5422067,191906.0
TEMP1,529365.5429493,38.236000061035156
PPG_IR,529365.5424092,191922.0
PPG_RED,529365.5426154,134372.0
PPG_RED,529365.7424596,134373.0
PPG_RED,529365.7425328,134388.0
PPG_RED,529365.7425944,134411.0
EDA,529365.7431549,5.691615104675293
PPG_IR,529365.7420978,191978.0
EDA,529365.7432626,5.691615104675293
PPG_IR,529365.7422826,192009.0
EDA,529365.7465816,5.696249008178711
PPG_IR,529365.7423741,192069.0
PPG_IR,529365.7459805,192110.0
TEMP1,529365.7434409,38.10200119018555
PPG_IR,529365.7461028,192073.0
PPG_RED,529365.7462151,134408.0
PPG_RED,529365.7463235,134401.0
PPG_GRN,529365.7427421,9880.0
PPG_GRN,529365.7429198,9891.0
PPG_GRN,529365.743025,9897.0
PPG_GRN,529365.7464341,9927.0
PPG_GRN,529365.7465036,9920.0
EDA,529365.842804,5.700933933258057
PPG_IR,529365.8420394,191931.0
PPG_RED,529365.84231,134390.0
PPG_RED,529365.8423649,134353.0
TEMP1,529365.8430179,38.08000183105469
PPG_IR,529365.8421856,191825.0
PPG_GRN,529365.8424908,9887.0
PPG_IR,529365.8422424,191669.0
PPG_RED,529365.8424131,134318.0
PPG_GRN,529365.842599,9831.0
EDA,529365.8429289,5.705583095550537
PPG_GRN,529365.8426891,9788.0
PPG_RED,529365.9423345,134300.0
TEMP1,529365.9429113,38.17599868774414
EDA,529365.9427757,5.710284233093262
PPG_GRN,529365.9425104,9760.0
PPG_IR,529365.9421389,191524.0
PPG_RED,529365.9424207,134296.0
PPG_IR,529365.9422417,191420.0
PPG_GRN,529365.9426716,9711.0
TEMP1,529366.176362,38.11199951171875
PPG_GRN,529366.1758906,9681.0
PPG_IR,529366.1753499,191335.0
PPG_GRN,529366.1759536,9680.0
EDA,529366.1760773,5.705583095550537
EDA,529366.1761486,5.710284233093262
EDA,529366.1796692,5.705583095550537
PPG_GRN,529366.1760086,9699.0
PPG_IR,529366.1754559,191367.0
PPG_GRN,529366.1794459,9708.0
PPG_IR,529366.1755432,191404.0
PPG_GRN,529366.1795513,9707.0
PPG_RED,529366.1756326,134245.0
PPG_IR,529366.1789856,191423.0
PPG_IR,529366.1790746,191455.0
