Time,EDA,PPG_GRN,PPG_IR,PPG_RED,TEMP1,PPG_RED_HR,PPG_RED_IBI,PPG_IR_HR,PPG_IR_IBI,PPG_GRN_HR,PPG_GRN_IBI,PPG_RED_brut,PPG_GRN_brut,PPG_IR_brut,EDA_brut,TEMP1_brut,PPG_IR_HR_brut,PPG_GRN_HR_brut,PPG_RED_HR_brut,PPG_IR_IBI_brut,PPG_GRN_IBI_brut,PPG_RED_IBI_brut
0.0,,,196170.66666666666,,,,,,,,,,,196170.66666666666,,,,,,,,
1.0,,,196177.79032258064,,37.44900131225586,,,,,,,,,196281.0833333333,,37.44900131225586,,,,,,
100.0,,,196191.57804370447,131359.0,37.44900131225586,,,,,,,131359.0,,196391.5,,,,,,,,
101.0,0.3457440137863159,9600.5,196216.76655701388,131362.3870967742,37.45099240680074,,,,,,,131411.5,9600.5,196582.0,0.3457440137863159,37.47800064086914,,,,,,
333.0,0.34597600996494293,9601.129032258064,196252.62032752912,131368.9427679501,37.45099240680074,,,,,,,131464.0,9610.25,196772.5,,,,,,,,
334.0,0.3462080061435699,9602.346514047867,196294.628693495,131376.77441732967,37.45099240680074,,,,,,,131490.33333333334,9620.0,196903.75,0.3462080061435699,,,,,,,
337.0,0.34630550444126124,9603.711255077038,196342.39458423728,131385.7997237385,37.45099240680074,,,,,,,131516.66666666666,9623.5,197035.0,,,,,,,,
338.0,0.34640300273895264,9605.213754749488,196398.27235299617,131395.94167704572,37.45099240680074,,,,,,,131543.0,9627.0,197208.5,,,,,,,,
339.0,0.346500501036644,9607.587060894683,196456.67413667383,131406.83791293524,37.45099240680074,,,,,,,131564.83333333334,9642.0,197303.5,0.346500501036644,,,,,,,
366.0,0.3466382548213005,9610.081444062767,196517.43709559808,131418.43976801468,37.45099240680074,,,,,,,131586.66666666666,9646.25,197398.5,,,,,,,,
367.0,0.346776008605957,9612.689092832912,196543.84437975305,131430.70171846534,37.45099240680074,,,,,,,131608.5,9650.5,196926.75,0.346776008605957,,,,,,,
501.0,0.3469097539782524,9614.063990069499,196538.11248428514,131434.70483340306,37.45099240680074,,,,,,,131492.75,9634.0,196455.0,,,,,,,,
502.0,0.3470434993505478,9614.285668129532,196507.6106035786,131430.98194092544,37.44710054436074,,,,,,,131377.0,9617.5,196065.3333333333,0.3470434993505478,37.41400146484375,,,,,,
