situationoeil,timestamp,emotionsResentis,arousal,valence 
"false",33763,"Calme","0","1"
"false",62626,"Tristesse","0","-1"
"false",95047,"Calme","-1","1"
"false",116524,"Tristesse","0","-1"
"false",137270,"Peur","1","0"
"undefined",156000,"Tristesse","0","0"
"undefined",178631,"Calme","1","1"
"undefined",197437,"Calme","-1","0"
"undefined",222962,"Joie","1","1"
"undefined",242000,"Peur","2","-2"
"undefined",259890,"Joie","1","1"
"undefined",273232,"Tristesse","1","-2"
"undefined",288833,"Calme","-1","0"
"undefined",303119,"Peur","1","-1"
"undefined",318763,"Tristesse","-1","-1"
"undefined",332529,"Calme","-1","1"
"undefined",347239,"Calme","-1","1"
"undefined",360575,"Peur","2","-2"
"undefined",377063,"Tristesse","0","-1"
"undefined",393871,"Calme","0","1"
