Type,Time,Data
EDA,2082253.6018432,0.7452070116996765
PPG_GRN,2082253.6015919,8048.0
5966797
PPG_RED,2082253.6013625,121919.0
EDA,2082253.601929,0.7461649775505066
PPG_GRN,2082253.6016711,8041.0
PPG_RED,2082253.6014373,121937.0
PPG_IR,2082253.6012084,189865.0
PPG_GRN,2082253.6017491,8051.0
PPG_RED,2082253.6015073,121950.0
PPG_IR,2082253.6012829,189865.0
PPG_GRN,2082253.8003758,8051.0
EDA,2082253.8005814,0.7475249767303467
PPG_IR,2082253.7999864,189833.0
PPG_RED,2082253.8001941,121951.0
EDA,2082253.8034223,0.7482479810714722
TEMP1,2082253.8007094,35.02799987792969
PPG_RED,2082253.800275,121952.0
PPG_IR,2082253.8000848,189790.0
PPG_GRN,2082253.8004736,8064.0
TEMP1,2082253.8036179,35.012001037597656
EDA,2082253.8035108,0.7490519881248474
EDA,2082253.8061899,0.7482479810714722
EDA,2082253.8062765,0.7490519881248474
TEMP1,2082253.8064006,35.012001037597656
PPG_RED,2082253.8029242,121957.0
PPG_IR,2082253.8026737,189790.0
PPG_RED,2082253.803005,121965.0
PPG_IR,2082253.8027584,189772.0
PPG_RED,2082253.8030816,121959.0
EDA,2082253.9017131,0.7492930293083191
PPG_IR,2082253.80284,189730.0
PPG_IR,2082253.8054861,189790.0
PPG_RED,2082253.8057128,121957.0
PPG_IR,2082253.8055629,189772.0
PPG_RED,2082253.8057866,121965.0
PPG_IR,2082253.8056368,189730.0
PPG_RED,2082253.8058588,121959.0
PPG_IR,2082253.9008443,189703.0
PPG_RED,2082253.9011342,121954.0
PPG_IR,2082253.9009418,189695.0
PPG_RED,2082253.9012197,121971.0
PPG_IR,2082253.9010266,189674.0
PPG_RED,2082253.9013139,121965.0
PPG_GRN,2082253.8031723,8045.0
PPG_GRN,2082253.8032515,8059.0
PPG_GRN,2082253.8033288,8054.0
PPG_GRN,2082253.8059402,8045.0
PPG_GRN,2082253.8060191,8059.0
PPG_GRN,2082253.8061019,8054.0
PPG_GRN,2082253.9014139,8072.0
PPG_GRN,2082253.9015119,8062.0
PPG_GRN,2082253.9016042,8047.0
EDA,2082254.0119811,0.7496150135993958
EDA,2082254.0120833,0.7494549751281738
PPG_GRN,2082254.0117623,8060.0
PPG_GRN,2082254.0118766,8056.0
PPG_IR,2082254.0111205,189677.0
PPG_RED,2082254.0114638,121936.0
PPG_IR,2082254.0113524,189636.0
PPG_RED,2082254.0116491,121938.0
TEMP1,2082254.0122183,35.005001068115234
PPG_IR,2082254.1083997,189624.0
PPG_RED,2082254.1090061,121923.0
PPG_GRN,2082254.1095943,8051.0
EDA,2082254.1102022,0.7497770190238953
PPG_IR,2082254.1085691,189584.0
TEMP1,2082254.11046,35.00199890136719
PPG_RED,2082254.1092105,121922.0
PPG_GRN,2082254.1097875,8040.0
PPG_IR,2082254.1087865,189574.0
PPG_GRN,2082254.1099892,8048.0
PPG_RED,2082254.1093887,121917.0
PPG_RED,2082254.2668923,121929.0
TEMP1,2082254.2674371,35.000999450683594
PPG_IR,2082254.2667145,189544.0
EDA,2082254.26723,0.7497770190238953
PPG_GRN,2082254.2670565,8050.0
