situationoeil,timestamp,emotionsResentis,arousal,valence 
"false",36904,"Calme","-1","2"
"true",75077,"Peur","0","-1"
"false",112764,"Calme","-2","0"
"false",130962,"Tristesse","-1","0"
"false",149128,"Peur","2","-2"
"undefined",168466,"Tristesse","-2","0"
"undefined",186350,"Tristesse","1","-1"
"undefined",206789,"Tristesse","-2","-1"
"undefined",230042,"Joie","-2","1"
"undefined",252052,"Peur","1","-2"
"undefined",278757,"Joie","1","1"
"undefined",298674,"Peur","2","-2"
"undefined",320251,"Calme","-1","1"
"undefined",339189,"Peur","1","-1"
"undefined",355457,"Peur","-2","-1"
"undefined",373256,"Tristesse","0","0"
"undefined",390115,"Calme","-2","0"
"undefined",409219,"Peur","1","-1"
"undefined",430299,"Tristesse","1","-1"
"undefined",453051,"Joie","2","2"
