Type,Time,Data
PPG_GRN,1476915.9906819,8256.0
8177795
TEMP1,1476915.9910509,33.67900085449219
PPG_GRN,1476915.9908344,8288.0
PPG_GRN,1476916.0912792,8314.0
EDA,1476916.0914311,0.27605998516082764
PPG_IR,1476916.090985,178223.0
PPG_GRN,1476916.0913372,8326.0
PPG_IR,1476916.0910348,178324.0
PPG_RED,1476916.0911447,126441.0
EDA,1476916.0914852,0.2761479914188385
PPG_GRN,1476916.0913789,8338.0
PPG_RED,1476916.0911963,126448.0
PPG_IR,1476916.0910732,178420.0
PPG_RED,1476916.0912335,126505.0
PPG_RED,1476916.1909748,126514.0
TEMP1,1476916.1915294,33.71900177001953
PPG_RED,1476916.1910684,126545.0
EDA,1476916.1914176,0.2762570083141327
PPG_IR,1476916.1906855,178546.0
PPG_GRN,1476916.1913255,8382.0
PPG_IR,1476916.1907855,178628.0
PPG_RED,1476916.3246109,126547.0
EDA,1476916.3252961,0.27642199397087097
EDA,1476916.3253797,0.27661898732185364
TEMP1,1476916.3255132,33.77199935913086
PPG_GRN,1476916.3249908,8408.0
PPG_IR,1476916.324079,178706.0
PPG_GRN,1476916.3250697,8436.0
PPG_RED,1476916.324726,126588.0
PPG_GRN,1476916.3251816,8476.0
PPG_RED,1476916.3248816,126614.0
PPG_IR,1476916.3241647,178818.0
PPG_IR,1476916.3244159,178954.0
PPG_IR,1476916.4239943,178880.0
PPG_GRN,1476916.4243643,8461.0
TEMP1,1476916.4246308,33.68899917602539
EDA,1476916.424527,0.2768059968948364
PPG_RED,1476916.424204,126611.0
PPG_IR,1476916.4240894,178437.0
PPG_GRN,1476916.4244079,8443.0
EDA,1476916.4245748,0.2769930064678192
PPG_IR,1476916.4241569,178116.0
PPG_GRN,1476916.4244589,8416.0
PPG_RED,1476916.4242798,126488.0
PPG_RED,1476916.4243187,126435.0
PPG_IR,1476916.5235278,178024.0
EDA,1476916.5238916,0.2771359980106354
PPG_RED,1476916.5236243,126419.0
PPG_GRN,1476916.5237898,8374.0
PPG_GRN,1476916.5238389,8349.0
PPG_IR,1476916.5235785,177993.0
PPG_RED,1476916.523709,126416.0
EDA,1476916.7574505,0.2772899866104126
PPG_GRN,1476916.7572266,8332.0
PPG_RED,1476916.7570696,126418.0
PPG_IR,1476916.7569396,178009.0
TEMP1,1476916.7575984,33.75899887084961
PPG_GRN,1476916.7573031,8329.0
EDA,1476916.7575323,0.27743399143218994
TEMP1,1476916.759441,33.75400161743164
PPG_IR,1476916.7569894,178019.0
PPG_GRN,1476916.7573774,8329.0
PPG_RED,1476916.7571305,126421.0
PPG_IR,1476916.7570259,178059.0
EDA,1476916.7593846,0.27761098742485046
PPG_RED,1476916.7571652,126421.0
TEMP1,1476916.8242842,33.75199890136719
PPG_IR,1476916.7591409,178092.0
EDA,1476916.8241768,0.277754008769989
EDA,1476916.8242249,0.27789801359176636
PPG_IR,1476916.7591806,178136.0

PPG_GRN,1476916.7592977,8338.0
PPG_IR,1476916.8237833,178178.0
PPG_GRN,1476916.7593413,8330.0
PPG_RED,1476916.7592569,126456.0
PPG_IR,1476916.8238322,178227.0
PPG_IR,1476916.8238722,178343.0
EDA,1476916.9257526,0.2780649960041046
PPG_GRN,1476916.8240419,8316.0
PPG_RED,1476916.8239158,126464.0
PPG_IR,1476916.9241879,178422.0
PPG_GRN,1476916.8240869,8343.0
PPG_RED,1476916.8239598,126476.0
PPG_GRN,1476916.8241267,8345.0
PPG_RED,1476916.8239976,126491.0
PPG_IR,1476916.9243152,178514.0
PPG_RED,1476916.9246141,126518.0
PPG_GRN,1476916.9251709,8355.0
PPG_RED,1476916.924844,126543.0
PPG_GRN,1476916.9254705,8373.0
PPG_IR,1476917.0244075,178637.0
TEMP1,1476917.0250678,33.750999450683594
EDA,1476917.024911,0.27826499938964844
PPG_GRN,1476917.0247798,8403.0
PPG_RED,1476917.0246455,126558.0
PPG_IR,1476917.0245534,178743.0
EDA,1476917.0249765,0.2784090042114258
PPG_GRN,1476917.0248432,8412.0
PPG_RED,1476917.0247146,126585.0
TEMP1,1476917.2915317,33.71500015258789
EDA,1476917.2914451,0.278564989566803
PPG_RED,1476917.2909894,126621.0
PPG_IR,1476917.290797,178846.0
TEMP1,1476917.2943857,33.73500061035156
PPG_GRN,1476917.2912542,8435.0
EDA,1476917.2942622,0.2787100076675415
PPG_GRN,1476917.2913212,8454.0
