situationoeil,timestamp,emotionsResentis,arousal,valence,personne_id,tableau
false,32709,Calme,-1,2,0,0
false,52907,Peur,1,-1,0,1
false,107493,Calme,-2,1,0,2
false,122616,Calme,-1,1,0,3
false,135874,Peur,2,-1,0,4
undefined,148903,Tristesse,-1,0,0,5
undefined,163437,Calme,-2,2,0,6
undefined,175818,Joie,-1,1,0,7
undefined,188958,Calme,-2,0,0,8
undefined,200104,Peur,1,-2,0,9
undefined,220689,Joie,1,1,0,10
undefined,231638,Tristesse,-2,-2,0,11
undefined,241465,Joie,-1,1,0,12
undefined,253309,Peur,1,-2,0,13
undefined,263744,Peur,1,-2,0,14
undefined,277401,Tristesse,-2,-1,0,15
undefined,289792,Calme,-1,2,0,16
undefined,301889,Peur,2,-2,0,17
undefined,311993,Tristesse,-1,-1,0,18
undefined,322951,Calme,0,0,0,19
false,35112,Calme,-1,2,1,0
false,49639,Peur,1,-1,1,1
false,65316,Joie,1,2,1,2
false,78163,Tristesse,-1,-1,1,3
false,89783,Peur,1,-1,1,4
undefined,105980,Calme,-1,1,1,5
undefined,120940,Calme,-1,1,1,6
undefined,135235,Peur,1,-1,1,7
undefined,160272,Joie,2,2,1,8
undefined,173314,Peur,2,-2,1,9
undefined,188830,Peur,2,-2,1,10
undefined,199631,Tristesse,-1,-2,1,11
undefined,220554,Tristesse,-1,-2,1,12
undefined,230908,Peur,1,-2,1,13
undefined,243661,Peur,1,-2,1,14
undefined,255884,Tristesse,-1,-2,1,15
undefined,270053,Joie,2,2,1,16
undefined,280386,Peur,1,-1,1,17
undefined,294717,Peur,1,-1,1,18
undefined,306586,Joie,2,2,1,19
false,35424,Calme,0,0,2,0
false,122301,Joie,2,2,2,1
false,139095,Calme,1,1,2,2
false,156872,Calme,1,1,2,3
false,173579,Calme,-1,0,2,4
undefined,214778,Peur,1,0,2,5
undefined,233989,Calme,1,1,2,6
undefined,248276,Tristesse,2,-1,2,7
undefined,266590,Joie,2,2,2,8
undefined,280697,Peur,1,-1,2,9
undefined,301132,Peur,1,0,2,10
undefined,326167,Tristesse,-1,0,2,11
undefined,346859,Calme,0,0,2,12
undefined,361196,Tristesse,-1,-1,2,13
undefined,378025,Tristesse,1,-1,2,14
undefined,394396,Calme,0,1,2,15
undefined,406958,Calme,1,2,2,16
undefined,425088,Peur,1,0,2,17
undefined,447384,Tristesse,1,-1,2,18
undefined,465046,Joie,1,1,2,19
false,34914,Calme,0,1,3,0
true,74036,Peur,1,-2,3,1
false,95612,Joie,0,1,3,2
false,116057,Tristesse,-1,-1,3,3
false,148336,Peur,1,-2,3,4
undefined,165169,Tristesse,0,-2,3,5
undefined,178671,Calme,0,1,3,6
undefined,197129,Joie,-1,0,3,7
undefined,222599,Calme,0,1,3,8
undefined,237704,Peur,2,-2,3,9
undefined,252467,Joie,1,2,3,10
undefined,264668,Tristesse,1,-2,3,11
undefined,281131,Joie,0,1,3,12
undefined,295450,Peur,1,-1,3,13
undefined,309361,Peur,1,-2,3,14
undefined,325868,Calme,0,1,3,15
undefined,337818,Calme,1,2,3,16
undefined,351464,Tristesse,1,0,3,17
undefined,368641,Tristesse,1,-2,3,18
undefined,383021,Joie,1,2,3,19
false,33763,Calme,0,1,4,0
false,62626,Tristesse,0,-1,4,1
false,95047,Calme,-1,1,4,2
false,116524,Tristesse,0,-1,4,3
false,137270,Peur,1,0,4,4
undefined,156000,Tristesse,0,0,4,5
undefined,178631,Calme,1,1,4,6
undefined,197437,Calme,-1,0,4,7
undefined,222962,Joie,1,1,4,8
undefined,242000,Peur,2,-2,4,9
undefined,259890,Joie,1,1,4,10
undefined,273232,Tristesse,1,-2,4,11
undefined,288833,Calme,-1,0,4,12
undefined,303119,Peur,1,-1,4,13
undefined,318763,Tristesse,-1,-1,4,14
undefined,332529,Calme,-1,1,4,15
undefined,347239,Calme,-1,1,4,16
undefined,360575,Peur,2,-2,4,17
undefined,377063,Tristesse,0,-1,4,18
undefined,393871,Calme,0,1,4,19
false,34077,Calme,0,1,5,0
false,75896,Tristesse,1,-1,5,1
false,98194,Calme,-1,0,5,2
false,112069,Calme,-2,0,5,3
false,130674,Peur,-1,0,5,4
undefined,156413,Calme,-2,0,5,5
undefined,167839,Calme,-1,0,5,6
undefined,186067,Calme,-1,0,5,7
undefined,199792,Calme,-1,0,5,8
undefined,216368,Peur,0,-1,5,9
undefined,229728,Joie,-1,1,5,10
