situationoeil,timestamp,emotionsResentis,arousal,valence 
"false",32709,"Calme","-1","2"
"false",52907,"Peur","1","-1"
"false",107493,"Calme","-2","1"
"false",122616,"Calme","-1","1"
"false",135874,"Peur","2","-1"
"undefined",148903,"Tristesse","-1","0"
"undefined",163437,"Calme","-2","2"
"undefined",175818,"Joie","-1","1"
"undefined",188958,"Calme","-2","0"
"undefined",200104,"Peur","1","-2"
"undefined",220689,"Joie","1","1"
"undefined",231638,"Tristesse","-2","-2"
"undefined",241465,"Joie","-1","1"
"undefined",253309,"Peur","1","-2"
"undefined",263744,"Peur","1","-2"
"undefined",277401,"Tristesse","-2","-1"
"undefined",289792,"Calme","-1","2"
"undefined",301889,"Peur","2","-2"
"undefined",311993,"Tristesse","-1","-1"
"undefined",322951,"Calme","0","0"
