Type,Time,Data
TEMP1,1047703.9006297,36.15399932861328
PPG_IR,1047703.8993389,190424.0
EDA,1047703.9002246,5.738471984863281
PPG_RED,1047703.8995574,130258.0
EDA,1047703.9003435,5.738471984863281
PPG_GRN,1047703.8998813,8492.0
PPG_IR,1047703.8994228,190471.0
PPG_IR,1047703.8994846,190503.0
PPG_RED,1047703.8996274,130266.0
PPG_GRN,1047703.8999876,8488.0
PPG_RED,1047703.8996883,130277.0
PPG_IR,1047704.0988983,190508.0
EDA,1047704.0992949,5.771742820739746
TEMP1,1047704.1008789,36.10200119018555
PPG_RED,1047704.0990009,130273.0
EDA,1047704.1007822,5.786107063293457
PPG_GRN,1047704.0992018,8507.0
EDA,1047704.1008245,5.800541877746582
PPG_IR,1047704.0989483,190552.0
PPG_GRN,1047704.099245,8512.0
PPG_IR,1047704.1003776,190581.0
EDA,1047704.2003763,5.805400848388672
PPG_RED,1047704.099139,130274.0
TEMP1,1047704.2005039,36.08000183105469
PPG_IR,1047704.1004152,190635.0
PPG_RED,1047704.1004907,130272.0
PPG_GRN,1047704.100662,8514.0
PPG_RED,1047704.1005272,130275.0
PPG_IR,1047704.1004509,190707.0
PPG_GRN,1047704.1007023,8535.0
PPG_RED,1047704.1006083,130314.0
TEMP1,1047704.3010338,36.17599868774414
PPG_IR,1047704.1995894,190773.0
EDA,1047704.3008469,5.829678058624268
PPG_GRN,1047704.100738,8561.0
PPG_IR,1047704.1997934,190814.0
PPG_GRN,1047704.20015,8573.0
PPG_IR,1047704.2999411,190925.0
PPG_GRN,1047704.2002664,8585.0

PPG_IR,1047704.3001763,191310.0
PPG_GRN,1047704.3004814,8612.0
PPG_GRN,1047704.3005592,8652.0
38428
PPG_GRN,1047704.3007067,8683.0
PPG_RED,1047704.1998722,130298.0
PPG_RED,1047704.1999573,130323.0
PPG_RED,1047704.3002272,130334.0
PPG_RED,1047704.3003259,130397.0
PPG_RED,1047704.3004021,130434.0
PPG_RED,1047704.6322659,130362.0
EDA,1047704.63255,5.859059810638428
TEMP1,1047704.6353127,36.14699935913086
PPG_GRN,1047704.6324412,8676.0
EDA,1047704.6352037,5.859059810638428
PPG_IR,1047704.6321548,191068.0
PPG_RED,1047704.6323555,130272.0
PPG_GRN,1047704.6324893,8618.0
TEMP1,1047704.6369274,36.1349983215332
PPG_GRN,1047704.6350222,8567.0
EDA,1047704.6352603,5.868936061859131
PPG_RED,1047704.6346884,130200.0
PPG_GRN,1047704.6350859,8540.0
PPG_GRN,1047704.6351386,8555.0
PPG_IR,1047704.6322142,190717.0
PPG_RED,1047704.6348453,130221.0
PPG_GRN,1047704.6367934,8570.0
TEMP1,1047704.7016187,36.270999908447266
EDA,1047704.6368745,5.883788108825684
PPG_IR,1047704.6345061,190530.0
PPG_RED,1047704.6349421,130236.0
PPG_GRN,1047704.6368317,8577.0
PPG_IR,1047704.6345478,190535.0
EDA,1047704.7012653,5.903740882873535
PPG_GRN,1047704.7006969,8588.0
PPG_RED,1047704.6367034,130254.0
PPG_IR,1047704.6345847,190639.0
EDA,1047704.7014206,5.918770790100098
TEMP1,1047704.8019979,36.2239990234375
PPG_GRN,1047704.7009073,8613.0
EDA,1047704.8018351,5.94400691986084
PPG_RED,1047704.6367465,130281.0
PPG_IR,1047704.6366151,190747.0
PPG_RED,1047704.7000744,130286.0
PPG_IR,1047704.6366598,190816.0
PPG_RED,1047704.7002216,130278.0
PPG_GRN,1047704.7010612,8610.0
PPG_IR,1047704.6997241,190849.0
PPG_RED,1047704.700414,130281.0
EDA,1047704.9004124,5.969459056854248
PPG_GRN,1047704.8014216,8633.0

PPG_RED,1047704.8011663,130286.0
EDA,1047704.9005867,6.010629177093506
PPG_GRN,1047704.8016585,8672.0
PPG_IR,1047704.6999245,190894.0
PPG_IR,1047704.8006333,190975.0
PPG_GRN,1047704.899784,8672.0
PPG_RED,1047704.8012975,130326.0
PPG_GRN,1047704.9000221,8699.0
PPG_IR,1047704.8007874,191086.0
PPG_GRN,1047704.9002065,8730.0
PPG_IR,1047704.8991827,191176.0
PPG_RED,1047704.8995315,130344.0
PPG_IR,1047704.8992815,191225.0
PPG_RED,1047704.8996207,130347.0
PPG_IR,1047704.8993676,191317.0
PPG_RED,1047704.8996961,130392.0
PPG_GRN,1047705.1011064,8748.0
PPG_GRN,1047705.1012102,8757.0
TEMP1,1047705.10153,36.202999114990234
PPG_RED,1047705.1008939,130399.0
EDA,1047705.1013153,6.031452178955078
PPG_IR,1047705.1006317,191405.0
TEMP1,1047705.1107424,36.26499938964844
PPG_RED,1047705.1010011,130425.0
PPG_GRN,1047705.1094545,8726.0
PPG_GRN,1047705.1096028,8667.0
PPG_RED,1047705.1090686,130332.0
PPG_IR,1047705.1007656,191436.0
PPG_GRN,1047705.1098444,8597.0
TEMP1,1047705.2004266,36.150001525878906
EDA,1047705.1101143,6.052370071411133
PPG_RED,1047705.1091873,130241.0
PPG_IR,1047705.10874,191114.0
PPG_GRN,1047705.1998384,8577.0
PPG_RED,1047705.1093115,130223.0
PPG_IR,1047705.1088396,190802.0
PPG_GRN,1047705.2000047,8595.0
PPG_RED,1047705.1997301,130244.0
EDA,1047705.1104143,6.105381965637207
PPG_IR,1047705.1089542,190675.0
PPG_GRN,1047705.3005765,8591.0
PPG_RED,1047705.1997936,130257.0
PPG_IR,1047705.1995269,190676.0
EDA,1047705.2001527,6.203172206878662
PPG_GRN,1047705.3006617,8608.0
PPG_RED,1047705.3003458,130294.0
PPG_GRN,1047705.3007328,8629.0
PPG_IR,1047705.1996115,190720.0
EDA,1047705.2002693,6.379191875457764
PPG_RED,1047705.300414,130338.0
PPG_IR,1047705.3001059,190838.0
PPG_RED,1047705.3004954,130334.0
EDA,1047705.3008216,6.704371929168701
PPG_IR,1047705.3001912,190921.0
PPG_IR,1047705.3002561,190995.0
PPG_RED,1047705.566788,130316.0
TEMP1,1047705.5672238,36.099998474121094
PPG_GRN,1047705.5669944,8624.0
PPG_IR,1047705.5666871,190928.0
EDA,1047705.5671074,6.9448161125183105
PPG_RED,1047705.566921,130300.0
EDA,1047705.5671653,6.993605136871338
